,medicine,links
179,Betnovate-N,https://pillintrip.com/medicine/betnovate-n-
180,Brufen Retard,https://pillintrip.com/medicine/brufen-retard
181,Bilax,https://pillintrip.com/medicine/bilax
182,Buscofem,https://pillintrip.com/medicine/buscofem
183,Bisocard ,https://pillintrip.com/medicine/bisocard
184,Briviact,https://pillintrip.com/medicine/briviact
185,Betazon,https://pillintrip.com/medicine/betazon
186,Breo Ellipta,https://pillintrip.com/medicine/breo-ellipta
187,Benosone,https://pillintrip.com/medicine/benosone
188,Betametasona Genfar,https://pillintrip.com/medicine/betametasona-genfar
189,Benadryl Antihistamine,https://pillintrip.com/medicine/benadryl-antihistamine
190,Bialfer,https://pillintrip.com/medicine/bialfer
191,Buventol,https://pillintrip.com/medicine/buventol
192,Bramitob,https://pillintrip.com/medicine/bramitob
193,Buscapina Compositum N,https://pillintrip.com/medicine/buscapina-compositum-n
194,Benylin Day & Night,https://pillintrip.com/medicine/benylin-day-night
195,Bimixin,https://pillintrip.com/medicine/bimixin
196,Benadryl Allergy (diphenhydramine),https://pillintrip.com/medicine/benadryl-allergy-diphenhydramine
197,Beflam,https://pillintrip.com/medicine/beflam
198,Brevinor,https://pillintrip.com/medicine/brevinor
199,Bentelan,https://pillintrip.com/medicine/bentelan
200,Chlorhexidine Gluconate 0.12% Oral Rinse,https://pillintrip.com/medicine/chlorhexidine-gluconate-0-12-oral-rinse
201,Chloromycetin Zoetis,https://pillintrip.com/medicine/chloromycetin-zoetis
202,Covarex,https://pillintrip.com/medicine/covarex
203,Calmiox,https://pillintrip.com/medicine/calmiox
204,Cipro,https://pillintrip.com/medicine/cipro
205,Cetizine,https://pillintrip.com/medicine/cetizine
206,Clodifen,https://pillintrip.com/medicine/clodifen
207,Créon,https://pillintrip.com/medicine/cr-on
208,Cialis,https://pillintrip.com/medicine/cialis
209,Cinfatos,https://pillintrip.com/medicine/cinfatos
210,Codiphen,https://pillintrip.com/medicine/codiphen
211,Creon (Pancreatin),https://pillintrip.com/medicine/creon-pancreatin
212,Codigesic,https://pillintrip.com/medicine/codigesic
213,Cinfatos Expectorante,https://pillintrip.com/medicine/cinfatos-expectorante
214,Cialis Bcnfarma,https://pillintrip.com/medicine/cialis-bcnfarma
215,Crestor,https://pillintrip.com/medicine/crestor
216,Cilift,https://pillintrip.com/medicine/cilift
217,Catafly,https://pillintrip.com/medicine/catafly
218,Calgel ,https://pillintrip.com/medicine/calgel
219,Cozaar,https://pillintrip.com/medicine/cozaar
220,Cortavance,https://pillintrip.com/medicine/cortavance
221,Ciloxan,https://pillintrip.com/medicine/ciloxan
222,Concerta (Methylphenidate hydrochloride),https://pillintrip.com/medicine/concerta-methylphenidate-hydrochloride
223,Caltrate,https://pillintrip.com/medicine/caltrate
224,Cristalmina,https://pillintrip.com/medicine/cristalmina
225,Colchicine Opocalcium,https://pillintrip.com/medicine/colchicine-opocalcium
226,Clobex(CORTICOSTEROIDS),https://pillintrip.com/medicine/clobex-corticosteroids
227,Clorocil,https://pillintrip.com/medicine/clorocil
228,Comforion (NSAID),https://pillintrip.com/medicine/comforion-nsaid
229,Citodon,https://pillintrip.com/medicine/citodon
230,Calmaben,https://pillintrip.com/medicine/calmaben
231,Canesten,https://pillintrip.com/medicine/canesten
232,Cephalexin,https://pillintrip.com/medicine/cephalexin
233,Collyre Bleu Laiter,https://pillintrip.com/medicine/collyre-bleu-laiter
234,Co-codamol (+Paracetamol),https://pillintrip.com/medicine/co-codamol-paracetamol
235,Chlorhexamed,https://pillintrip.com/medicine/chlorhexamed
236,Candacort,https://pillintrip.com/medicine/candacort
237,Covonia Throat Spray,https://pillintrip.com/medicine/covonia-throat-spray
238,Clenil,https://pillintrip.com/medicine/clenil
239,Cetrizet-D,https://pillintrip.com/medicine/cetrizet-d
240,Cafergot (oral/rectal),https://pillintrip.com/medicine/cafergot-oral-rectal
241,Cusimolol,https://pillintrip.com/medicine/cusimolol
242,Celestone,https://pillintrip.com/medicine/celestone
243,Cathejell,https://pillintrip.com/medicine/cathejell
244,Cebion,https://pillintrip.com/medicine/cebion
245,Cystadane,https://pillintrip.com/medicine/cystadane
246,Cyteal ,https://pillintrip.com/medicine/cyteal
247,Clexane ,https://pillintrip.com/medicine/clexane
248,Contraxen,https://pillintrip.com/medicine/contraxen
249,Co-Diovan,https://pillintrip.com/medicine/co-diovan-
250,Cremicort,https://pillintrip.com/medicine/cremicort
251,Contact,https://pillintrip.com/medicine/contact
252,Cafergot,https://pillintrip.com/medicine/cafergot
253,Carbocal,https://pillintrip.com/medicine/carbocal
254,CELESTAMINE N,https://pillintrip.com/medicine/celestamine-n
255,Calpol,https://pillintrip.com/medicine/calpol
256,Calbone,https://pillintrip.com/medicine/calbone
257,Cox,https://pillintrip.com/medicine/cox
258,Cataflam,https://pillintrip.com/medicine/cataflam
259,Clonium,https://pillintrip.com/medicine/clonium
260,Cogiton,https://pillintrip.com/medicine/cogiton
261,Cotril,https://pillintrip.com/medicine/cotril
262,Clearsing,https://pillintrip.com/medicine/clearsing
263,Clorxil,https://pillintrip.com/medicine/clorxil
264,Cipramil,https://pillintrip.com/medicine/cipramil
265,CoAprovel ,https://pillintrip.com/medicine/coaprovel
266,Caltan,https://pillintrip.com/medicine/caltan
267,Cetirizina Normon,https://pillintrip.com/medicine/cetirizina-normon
268,Conpin,https://pillintrip.com/medicine/conpin
269,Calcigol Plain,https://pillintrip.com/medicine/calcigol-plain
270,Celebrex,https://pillintrip.com/medicine/celebrex
271,Colchicina Lirca,https://pillintrip.com/medicine/colchicina-lirca
272,Combivent (+Salbutamol),https://pillintrip.com/medicine/combivent-salbutamol
273,Clarityne,https://pillintrip.com/medicine/clarityne
274,Cetebe,https://pillintrip.com/medicine/cetebe
275,Caduet,https://pillintrip.com/medicine/caduet
276,Clinivate-N,https://pillintrip.com/medicine/clinivate-n
277,Co Diovan,https://pillintrip.com/medicine/co-diovan
278,Candizol,https://pillintrip.com/medicine/candizol
279,Coprofen,https://pillintrip.com/medicine/coprofen
280,Cafergot (Corrective metabolism of bone and cartilaginous tissue),https://pillintrip.com/medicine/cafergot-corrective-metabolism-of-bone-and-cartilaginous-tissue
281,Colvasone,https://pillintrip.com/medicine/colvasone
282,Clarinase,https://pillintrip.com/medicine/clarinase
283,Cetrimed,https://pillintrip.com/medicine/cetrimed
284,Cidomycin,https://pillintrip.com/medicine/cidomycin
285,Chloramphenicol,https://pillintrip.com/medicine/chloramphenicol
286,Celestone Chronodose,https://pillintrip.com/medicine/celestone-chronodose
287,Cilest,https://pillintrip.com/medicine/cilest
288,Citraz,https://pillintrip.com/medicine/citraz
289,Colistin TZF,https://pillintrip.com/medicine/colistin-tzf
290,Clafen,https://pillintrip.com/medicine/clafen
291,Cortineff,https://pillintrip.com/medicine/cortineff
292,Coveram,https://pillintrip.com/medicine/coveram
293,Cirrus,https://pillintrip.com/medicine/cirrus
294,Canasone C.B.,https://pillintrip.com/medicine/canasone-c-b
295,Canesten (Clotrimazol),https://pillintrip.com/medicine/canesten-clotrimazol
296,Curakne,https://pillintrip.com/medicine/curakne
297,CIDR,https://pillintrip.com/medicine/cidr
298,Corvitol,https://pillintrip.com/medicine/corvitol
299,Controloc,https://pillintrip.com/medicine/controloc
300,Doreta,https://pillintrip.com/medicine/doreta
301,Dividol,https://pillintrip.com/medicine/dividol
302,Diprosone,https://pillintrip.com/medicine/diprosone
303,Dolocatil Codeina,https://pillintrip.com/medicine/dolocatil-codeina
304,Daktacort,https://pillintrip.com/medicine/daktacort
305,Diprophos,https://pillintrip.com/medicine/diprophos
306,Diprofos Depot,https://pillintrip.com/medicine/diprofos-depot
307,Duocetz,https://pillintrip.com/medicine/duocetz
308,Debequin-C,https://pillintrip.com/medicine/debequin-c
309,Diflucan,https://pillintrip.com/medicine/diflucan
310,Doxycycline,https://pillintrip.com/medicine/doxycycline
311,Duphaston,https://pillintrip.com/medicine/duphaston
312,Dafiro ,https://pillintrip.com/medicine/dafiro
313,Dexamytrex,https://pillintrip.com/medicine/dexamytrex
314,Dentispray,https://pillintrip.com/medicine/dentispray
315,Dermisone Tri Antibiotica,https://pillintrip.com/medicine/dermisone-tri-antibiotica
316,Diprosalic(+Salicylic acid),https://pillintrip.com/medicine/diprosalic-salicylic-acid
317,Dafalgan Codeine,https://pillintrip.com/medicine/dafalgan-codeine
318,Diclovit,https://pillintrip.com/medicine/diclovit
319,Diflam,https://pillintrip.com/medicine/diflam
320,Duphalac,https://pillintrip.com/medicine/duphalac
321,Dideral,https://pillintrip.com/medicine/dideral
322,Differin,https://pillintrip.com/medicine/differin
323,Durogesic,https://pillintrip.com/medicine/durogesic
324,Doxafin,https://pillintrip.com/medicine/doxafin
325,Diprogenta (ANTIBACTERIALS_CORTICOSTEROID),https://pillintrip.com/medicine/diprogenta-antibacterials-corticosteroid
326,Dolven,https://pillintrip.com/medicine/dolven
327,Doxal (Doxycycline),https://pillintrip.com/medicine/doxal-doxycycline
328,Dodex,https://pillintrip.com/medicine/dodex
329,Diovan,https://pillintrip.com/medicine/diovan
330,Dimicina,https://pillintrip.com/medicine/dimicina
331,Depon,https://pillintrip.com/medicine/depon
332,Doloproct,https://pillintrip.com/medicine/doloproct
333,Desloratadine,https://pillintrip.com/medicine/desloratadine
334,Domp-M,https://pillintrip.com/medicine/domp-m
335,Daivobet,https://pillintrip.com/medicine/daivobet
336,Dicloabak,https://pillintrip.com/medicine/dicloabak
337,Diliban,https://pillintrip.com/medicine/diliban
338,Dermobacter,https://pillintrip.com/medicine/dermobacter
339,Dynexan 2%,https://pillintrip.com/medicine/dynexan-2
340,Deprim,https://pillintrip.com/medicine/deprim
341,"Diprosalic (Betamethasone Dipropionate,Sodium Salicylate)",https://pillintrip.com/medicine/diprosalic-betamethasone-dipropionate-sodium-salicylate
342,Diacol,https://pillintrip.com/medicine/diacol
343,Daonil,https://pillintrip.com/medicine/daonil
344,Dextromethorphan Hydrobromide,https://pillintrip.com/medicine/dextromethorphan-hydrobromide
345,Decapeptyl,https://pillintrip.com/medicine/decapeptyl
346,Diarfin,https://pillintrip.com/medicine/diarfin
347,Defrinol Forte,https://pillintrip.com/medicine/defrinol-forte
348,Daktarin (Miconazole nitrate),https://pillintrip.com/medicine/daktarin-miconazole-nitrate
349,DBL Acetylcysteine,https://pillintrip.com/medicine/dbl-acetylcysteine
350,Dermosupril,https://pillintrip.com/medicine/dermosupril
351,Dermovagisil,https://pillintrip.com/medicine/dermovagisil
352,Duocid,https://pillintrip.com/medicine/duocid
353,Defuzin-B,https://pillintrip.com/medicine/defuzin-b
354,Duodopa,https://pillintrip.com/medicine/duodopa
355,Duofilm (EMOLLIENTS AND PROTECTIVES),https://pillintrip.com/medicine/duofilm-emollients-and-protectives
356,Dovobet,https://pillintrip.com/medicine/dovobet
357,Dolorin Cold,https://pillintrip.com/medicine/dolorin-cold
358,Desal,https://pillintrip.com/medicine/desal
359,Dextracin,https://pillintrip.com/medicine/dextracin
360,Dexamethasone,https://pillintrip.com/medicine/dexamethasone
361,Dexafort (Dexamethasone),https://pillintrip.com/medicine/dexafort-dexamethasone
362,Dolotren,https://pillintrip.com/medicine/dolotren
363,Diclo-Denk,https://pillintrip.com/medicine/diclo-denk
364,Dalsy,https://pillintrip.com/medicine/dalsy
365,Diazepam Desitin,https://pillintrip.com/medicine/diazepam-desitin
366,Dymoxin,https://pillintrip.com/medicine/dymoxin
367,Dentopain,https://pillintrip.com/medicine/dentopain
368,Dal,https://pillintrip.com/medicine/dal
369,Dexazol,https://pillintrip.com/medicine/dexazol
370,Descovy,https://pillintrip.com/medicine/descovy
371,Diprogenta,https://pillintrip.com/medicine/diprogenta
372,Dexomet,https://pillintrip.com/medicine/dexomet
373,Dekoferin,https://pillintrip.com/medicine/dekoferin
374,Dekort,https://pillintrip.com/medicine/dekort
375,DuoResp Spiromax ,https://pillintrip.com/medicine/duoresp-spiromax
376,Diprospan G,https://pillintrip.com/medicine/diprospan-g
377,Domper-M,https://pillintrip.com/medicine/domper-m
378,Decolgen ND,https://pillintrip.com/medicine/decolgen-nd
379,Dalacin,https://pillintrip.com/medicine/dalacin
380,Daleron,https://pillintrip.com/medicine/daleron
381,Dumozol,https://pillintrip.com/medicine/dumozol
382,Dethamycin,https://pillintrip.com/medicine/dethamycin
383,Diprospan,https://pillintrip.com/medicine/diprospan
384,Dexason,https://pillintrip.com/medicine/dexason
385,Depo-Provera,https://pillintrip.com/medicine/depo-provera-
386,Diclofenaco La Santé,https://pillintrip.com/medicine/diclofenaco-la-sant
387,Daktarin,https://pillintrip.com/medicine/daktarin
388,Dentisept,https://pillintrip.com/medicine/dentisept
389,Desentol,https://pillintrip.com/medicine/desentol
390,Diclo SL - 1 A Pharma,https://pillintrip.com/medicine/diclo-sl-1-a-pharma
391,Diphergan,https://pillintrip.com/medicine/diphergan
392,Domp,https://pillintrip.com/medicine/domp
393,Dip,https://pillintrip.com/medicine/dip
394,Dezor ,https://pillintrip.com/medicine/dezor
395,Dicloberl retard,https://pillintrip.com/medicine/dicloberl-retard
396,Dicloftil,https://pillintrip.com/medicine/dicloftil
397,Dermosa Hidrocortisona,https://pillintrip.com/medicine/dermosa-hidrocortisona
398,Dermoval 0.05%,https://pillintrip.com/medicine/dermoval-0-05
399,Diprofos,https://pillintrip.com/medicine/diprofos
400,Etoflam,https://pillintrip.com/medicine/etoflam
401,Enfluvir,https://pillintrip.com/medicine/enfluvir
402,Effexor XR,https://pillintrip.com/medicine/effexor-xr
403,Elantan,https://pillintrip.com/medicine/elantan
404,Etol Fort,https://pillintrip.com/medicine/etol-fort
405,Erotil,https://pillintrip.com/medicine/erotil
406,Efinex,https://pillintrip.com/medicine/efinex
407,Exomuc,https://pillintrip.com/medicine/exomuc
408,Epicephin,https://pillintrip.com/medicine/epicephin
409,Exxiv,https://pillintrip.com/medicine/exxiv
410,Efferalgan Vitamina C,https://pillintrip.com/medicine/efferalgan-vitamina-c
411,Elicea,https://pillintrip.com/medicine/elicea
412,Epiduo,https://pillintrip.com/medicine/epiduo
413,Empacod,https://pillintrip.com/medicine/empacod
414,Emla,https://pillintrip.com/medicine/emla
415,Equimucin,https://pillintrip.com/medicine/equimucin
416,Eurobiol,https://pillintrip.com/medicine/eurobiol
417,Enterogel-FD,https://pillintrip.com/medicine/enterogel-fd
418,Euthyrox,https://pillintrip.com/medicine/euthyrox
419,Elyfem,https://pillintrip.com/medicine/elyfem
420,Exforge,https://pillintrip.com/medicine/exforge
421,Efferalgan Codeine,https://pillintrip.com/medicine/efferalgan-codeine
422,Estocelan,https://pillintrip.com/medicine/estocelan
423,Examples include Bactrim,https://pillintrip.com/medicine/examples-include-bactrim
424,Eridosis,https://pillintrip.com/medicine/eridosis
425,Eludril (Chlorhexidin_Tetracaine),https://pillintrip.com/medicine/eludril-chlorhexidin-tetracaine
426,Encorton,https://pillintrip.com/medicine/encorton
427,Extal,https://pillintrip.com/medicine/extal
428,Esmya,https://pillintrip.com/medicine/esmya
429,Ena,https://pillintrip.com/medicine/ena
430,Ebymect (Metformin hydrochloride),https://pillintrip.com/medicine/ebymect-metformin-hydrochloride
431,Enfexia,https://pillintrip.com/medicine/enfexia
432,Efox,https://pillintrip.com/medicine/efox
433,Enterobene,https://pillintrip.com/medicine/enterobene
434,Efloran,https://pillintrip.com/medicine/efloran
435,Eryfluid,https://pillintrip.com/medicine/eryfluid
436,Estrimax,https://pillintrip.com/medicine/estrimax
437,ECT,https://pillintrip.com/medicine/ect
438,Ecee2,https://pillintrip.com/medicine/ecee2
439,Editin,https://pillintrip.com/medicine/editin
440,Elyzol,https://pillintrip.com/medicine/elyzol
441,Evra,https://pillintrip.com/medicine/evra
442,Elomet,https://pillintrip.com/medicine/elomet
443,Etos Ibuprofen,https://pillintrip.com/medicine/etos-ibuprofen
444,Enzitrol ,https://pillintrip.com/medicine/enzitrol
445,Equisolon,https://pillintrip.com/medicine/equisolon
446,Epiral,https://pillintrip.com/medicine/epiral
447,Efferalgan,https://pillintrip.com/medicine/efferalgan
448,Eumovate,https://pillintrip.com/medicine/eumovate
449,Ebixa ,https://pillintrip.com/medicine/ebixa
450,Eliquis,https://pillintrip.com/medicine/eliquis
451,Esmeron,https://pillintrip.com/medicine/esmeron
452,Eha,https://pillintrip.com/medicine/eha
453,Excedrin Extra-Strength,https://pillintrip.com/medicine/excedrin-extra-strength
454,Econochlor,https://pillintrip.com/medicine/econochlor
455,Endol,https://pillintrip.com/medicine/endol
456,Elitan,https://pillintrip.com/medicine/elitan
457,Eucil,https://pillintrip.com/medicine/eucil
458,Edarbi,https://pillintrip.com/medicine/edarbi
459,Echinacea extract fluid,https://pillintrip.com/medicine/echinacea-extract-fluid
